Date,R_Statistics,Python_Statistics,Julia_Statistics
2017-05-28,64,15,1
2017-06-04,72,20,1
2017-06-11,60,15,2
2017-06-18,66,13,0
2017-06-25,70,15,2
2017-07-02,63,22,0
2017-07-09,61,16,2
2017-07-16,74,11,0
2017-07-23,58,17,2
2017-07-30,63,23,1
2017-08-06,68,14,2
2017-08-13,62,19,2
2017-08-20,80,21,4
2017-08-27,63,19,1
2017-09-03,76,10,1
2017-09-10,93,15,1
2017-09-17,91,17,2
2017-09-24,80,22,1
2017-10-01,85,22,1
2017-10-08,95,13,1
2017-10-15,96,16,1
2017-10-22,92,19,1
2017-10-29,94,23,1
2017-11-05,100,23,3
2017-11-12,94,26,0
2017-11-19,77,26,1
2017-11-26,90,15,0
2017-12-03,84,23,0
2017-12-10,90,18,1
2017-12-17,62,18,3
2017-12-24,39,12,2
2017-12-31,51,14,1
2018-01-07,79,26,1
2018-01-14,79,18,2
2018-01-21,89,22,1
2018-01-28,84,23,3
2018-02-04,94,19,2
2018-02-11,86,31,0
2018-02-18,93,26,3
2018-02-25,90,20,1
2018-03-04,80,23,1
2018-03-11,78,17,1
2018-03-18,82,20,1
2018-03-25,96,19,2
2018-04-01,83,19,1
2018-04-08,89,24,1
2018-04-15,91,23,0
2018-04-22,99,28,2
2018-04-29,66,16,1
2018-05-06,70,13,0
2018-05-13,73,17,1
2018-05-20,77,17,0
